name,rating,numberofbik,WatchthisMonth,asian restaurant,italian restaurant,gril restaurant,mediterranean restaurant,chef restaurant,sitting outside,smoke area,sea food,coffe shop,delivery,burger shop,online order,Converted_Kosher,Price_Convert
344,7.9,2315,280,1,0,0,0,0,0,0,0,0,1,0,1,0,1
347,8.6,14,453,0,0,1,0,0,0,0,0,0,1,1,1,0,1
348,8.4,1751,1052,1,0,0,0,0,1,1,0,0,1,0,1,0,2
350,8.0,3473,1001,0,0,1,0,0,1,0,0,0,1,1,1,0,1
351,8.7,2062,827,0,0,1,0,0,0,1,0,0,1,0,1,1,2
352,8.8,1012,327,0,0,1,0,0,1,0,0,0,1,0,1,1,1
353,7.8,607,330,1,0,0,0,0,1,0,0,0,0,0,0,0,1
354,7.6,1246,543,1,0,0,0,0,1,0,0,0,1,0,1,1,1
355,8.8,4965,1648,0,0,1,0,0,1,1,0,0,1,0,1,0,0
356,8.7,2731,1035,0,0,0,0,0,0,1,0,0,1,1,1,0,1
358,8.2,3365,27,0,1,1,0,0,1,0,0,1,0,0,0,1,0
360,8.4,679,123,0,0,0,0,0,1,1,0,1,0,0,0,0,0
361,8.5,391,744,0,0,1,0,0,1,0,0,0,0,0,0,1,1
362,8.5,407,177,0,0,1,0,0,1,0,0,0,1,0,1,1,1
366,8.0,31,94,0,0,1,0,0,0,0,0,0,0,0,0,1,1
367,9.1,1374,1333,0,1,0,0,0,1,0,0,0,1,0,1,0,2
368,8.8,4383,614,0,1,0,0,0,1,1,0,1,0,0,1,1,1
369,8.6,85,365,1,0,0,0,0,0,0,0,0,1,0,1,0,1
370,8.7,1341,935,0,1,0,0,0,0,0,0,0,0,0,1,1,0
371,8.9,697,938,0,0,0,0,0,1,0,0,0,1,1,1,1,1
372,8.7,287,530,0,1,0,0,0,1,1,0,0,1,0,0,1,1
373,8.6,1482,333,0,0,0,0,0,0,0,0,1,0,0,0,1,1
374,7.9,832,305,0,1,0,0,0,0,0,0,1,1,0,1,1,1
375,8.3,2561,466,1,0,0,0,0,1,1,0,0,1,0,1,0,1
376,8.9,275,370,0,0,1,0,0,0,0,0,0,1,0,1,1,0
377,7.5,774,258,0,0,1,0,0,0,0,0,0,1,1,1,1,1
379,8.4,1157,573,0,0,1,0,0,1,0,0,0,1,1,1,1,0
380,8.1,493,463,1,0,0,0,0,0,0,0,0,1,0,1,1,1
381,8.3,946,368,0,0,1,0,0,1,0,0,0,1,0,0,1,1
382,8.1,33,223,0,1,0,0,0,1,0,0,0,1,0,0,1,1
383,7.6,1308,489,0,1,0,0,0,1,1,0,1,0,0,0,1,1
385,8.2,1012,267,1,0,0,0,0,0,0,0,0,1,0,1,1,1
386,8.1,2671,396,0,0,1,0,0,1,1,0,0,1,1,1,0,1
388,8.9,205,552,0,1,0,0,0,0,0,0,1,0,0,0,1,1
389,8.6,1471,1002,1,0,0,0,0,0,0,0,0,1,0,1,1,1
390,7.5,44,373,0,1,0,0,0,1,1,0,1,1,0,0,1,1
391,7.6,809,228,1,0,1,0,0,0,0,0,0,1,0,1,1,1
392,7.7,734,663,1,0,0,0,0,1,0,0,0,1,0,1,1,1
393,8.6,24,281,0,1,0,0,0,0,0,0,0,1,0,1,0,1
394,8.4,1400,341,0,1,1,0,0,1,1,0,0,0,0,1,0,1
395,7.5,619,299,1,0,0,0,0,1,0,0,0,1,0,0,1,1
396,9.0,1653,700,0,0,1,0,0,0,1,0,0,0,0,1,1,1
399,8.6,105,276,1,0,1,0,0,0,0,0,0,0,0,0,0,1
400,8.2,399,473,0,0,1,0,0,0,0,0,0,1,1,1,1,1
401,7.8,1982,198,0,0,0,0,0,1,1,0,1,1,0,1,0,1
402,7.4,68,224,0,1,0,0,0,1,0,0,1,0,0,0,1,1
404,8.1,182,109,0,0,1,0,0,0,0,0,0,1,1,1,0,1
407,8.5,367,333,1,0,0,0,0,1,0,0,0,1,0,1,1,1
408,7.9,118,590,0,1,0,0,0,1,1,0,1,1,0,0,1,1
409,7.9,118,590,0,1,0,0,0,1,1,0,1,1,0,0,1,1
410,8.2,482,508,0,0,1,0,0,0,0,0,0,1,1,1,1,1
412,8.4,193,243,0,0,1,0,0,1,1,0,0,1,0,0,0,1
413,8.5,270,103,0,0,1,0,0,0,0,0,0,0,0,0,0,1
414,8.7,2133,607,0,1,0,0,0,1,1,0,1,1,0,1,1,0
415,7.6,399,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
416,7.6,507,59,0,0,1,0,0,0,0,0,1,1,0,0,0,1
417,8.6,1902,1201,0,0,1,0,0,1,1,0,0,1,0,0,1,1
419,8.3,240,621,0,1,0,0,0,1,1,0,0,1,0,0,1,0
420,7.5,762,615,0,0,1,0,0,1,0,0,0,1,1,1,1,1
421,7.6,2012,73,0,0,0,0,0,0,0,0,1,0,0,1,1,1
423,8.6,300,325,0,1,0,0,0,1,0,0,0,1,0,0,1,0
424,8.6,249,507,0,1,0,0,0,1,0,0,0,1,0,1,1,0
425,8.4,72,243,0,1,0,0,0,0,0,0,1,1,0,0,0,1
427,8.2,74,152,0,0,0,0,0,1,0,0,1,1,0,0,1,1
428,7.8,43,171,0,0,1,0,0,0,0,0,0,0,0,0,1,1
429,8.5,38,627,0,0,0,0,0,1,0,0,1,1,1,0,0,1
430,8.2,476,574,0,0,1,0,0,1,1,0,0,1,0,1,1,0
431,8.0,197,1077,1,0,0,0,0,1,1,0,0,1,0,1,1,1
