name,rating,numberofbik,price,WatchthisMonth,Kosher,Address,asian restaurant,italian restaurant,gril restaurant,mediterranean restaurant,chef restaurant,sitting outside,smoke area,sea food,coffe shop,delivery,burger shop,online order,City,Street,Converted_Kosher,Price_Convert
קפה קפה,8.2,779,מחיר סביר,138,לא כשר,"גלבוע 1, נוף הגליל",0,0,1,0,0,0,0,0,1,1,0,1,נוף הגליל,גלבוע 1,0,1
בליקר בייקרי,7.9,177,מחיר סביר,401,כשר,"דרך הדרום, קרית גת",0,1,0,0,0,1,1,0,1,1,0,0,קרית גת,דרך הדרום,1,1
ללוש בראסרי,8,613,מחיר סביר,828,לא כשר,"חיטה 1, באר שבע",0,1,0,0,1,0,0,0,1,1,0,1,באר שבע,חיטה 1,0,1
עזרא ובניו,8.4,812,מחיר זול,2344,לא כשר,"ברשבסקי 6, ראשון לציון",0,0,1,0,0,1,1,0,0,1,0,1,ראשון לציון,ברשבסקי 6,0,0
שרינה,8.1,7739,מחיר זול,160,כשר,"אימבר 14, פתח תקווה",0,1,0,0,0,1,1,0,1,1,0,1,פתח תקווה,אימבר 14,1,0
BBB,8.6,2359,מחיר סביר,1016,לא כשר,"הרוקמים 26, חולון",0,0,1,0,0,0,0,0,0,1,1,1,חולון,הרוקמים 26,0,1
מריאנו שיינקמן,8.3,75,מחיר סביר,23,לא כשר,"הנורית 3, חדרה",0,0,0,1,0,0,0,0,0,0,0,0,חדרה,הנורית 3,0,1
איטליה,8.3,12,מחיר סביר,246,לא כשר,בית העמק,0,1,0,0,0,0,0,0,0,0,0,0,בית העמק,0,0,1
סיציליאנו,7,151,מחיר סביר,83,לא כשר,"סוקולוב 56, חולון",0,1,0,0,0,1,1,0,0,1,0,0,חולון,סוקולוב 56,0,1
השיפוד והמנגל,8.4,3056,מחיר סביר,751,כשר,"גזית 2, פתח תקווה",0,0,1,0,0,0,0,0,0,1,0,1,פתח תקווה,גזית 2,1,1
עזורא בפיתה,8.7,50,מחיר סביר,793,כשר,"שלומציון המלכה 14, ירושלים",0,0,1,0,0,1,0,0,0,1,0,1,ירושלים,שלומציון המלכה 14,1,1
